name,type,novel,bases,community,degree,betweenness,planet
Медузы,onym,Туманность Андромеды,1,440,0.0005896226415094339,0.0,Нейтр/Космос
Связь,onym,Туманность Андромеды,1,440,0.0005896226415094339,0.0,Нейтр/Космос
Надежда,onym,Туманность Андромеды,1,441,0.0,0.0,Нейтр/Космос
Восстановлением,onym,Туманность Андромеды,1,442,0.0,0.0,Нейтр/Космос
Электроды,onym,Туманность Андромеды,1,443,0.0,0.0,Нейтр/Космос
Комки,onym,Туманность Андромеды,1,444,0.0005896226415094339,0.0,Нейтр/Космос
Близоруко,onym,Туманность Андромеды,1,444,0.0005896226415094339,0.0,Нейтр/Космос
Шланги,onym,Туманность Андромеды,1,445,0.0,0.0,Нейтр/Космос
Лаборатория,onym,Туманность Андромеды,1,446,0.0005896226415094339,0.0,Нейтр/Космос
Ассистенты,onym,Туманность Андромеды,1,446,0.0005896226415094339,0.0,Нейтр/Космос
Приборы,onym,Туманность Андромеды,1,447,0.0,0.0,Нейтр/Космос
Запах,onym,Туманность Андромеды,1,448,0.0,0.0,Нейтр/Космос
Речка,onym,Туманность Андромеды,1,449,0.0,0.0,Нейтр/Космос
Астролетчик,onym,Туманность Андромеды,1,450,0.0,0.0,Нейтр/Космос
Мечтатель,onym,Туманность Андромеды,1,451,0.0,0.0,Нейтр/Космос
Исландию,onym,Туманность Андромеды,1,452,0.0023584905660377358,0.0,Нейтр/Космос
Осенние,onym,Туманность Андромеды,1,452,0.0023584905660377358,0.0,Нейтр/Космос
Листья,onym,Туманность Андромеды,1,452,0.0023584905660377358,0.0,Нейтр/Космос
Заря,onym,Туманность Андромеды,1,452,0.0029481132075471696,1.0435798964768744e-06,Нейтр/Космос
Грахама,onym,Туманность Андромеды,1,452,0.0029481132075471696,1.0435798964768744e-06,Нейтр/Космос
Хорош,onym,Туманность Андромеды,1,452,0.0011792452830188679,0.0,Нейтр/Космос
Смотрела,onym,Туманность Андромеды,1,453,0.0011792452830188679,0.0,Нейтр/Космос
Арком,onym,Туманность Андромеды,1,453,0.0029481132075471696,0.00011722880837090222,Нейтр/Космос
Гиром,onym,Туманность Андромеды,1,453,0.0029481132075471696,0.00011722880837090222,Нейтр/Космос
Обольстительной,onym,Туманность Андромеды,1,453,0.0029481132075471696,2.087159792953749e-06,Нейтр/Космос
Аннабель,onym,Туманность Андромеды,1,453,0.0029481132075471696,2.087159792953749e-06,Нейтр/Космос
Мужчины,onym,Час Быка,1,453,0.004127358490566038,0.0020739411142650416,Нейтр/Космос
Электробус,onym,Туманность Андромеды,1,453,0.0023584905660377358,0.0004689152334836089,Нейтр/Космос
