novel,onym,origin,internal_form,traits,semantic_links,myth_ref
Туманность Андромеды,Тетиса,не определено,,,{'мифология': 0.501},False
Туманность Андромеды,Лана,не определено,,мифологизация,"{'мифология': 0.659, 'знание': 0.517}",True
Туманность Андромеды,Вал,не определено,,мифологизация,"{'мифология': 0.75, 'знание': 0.62}",True
Туманность Андромеды,Люди Тукана,не определено,,,{'мифология': 0.52},False
Туманность Андромеды,Центавра,не определено,,мифологизация,"{'мифология': 0.711, 'знание': 0.571}",True
Туманность Андромеды,Добровольцы,не определено,,,{},False
Туманность Андромеды,Высказывание,не определено,,мифологизация,"{'мифология': 0.741, 'знание': 0.666}",True
Туманность Андромеды,"Южной
Америке",не определено,,,{},False
Туманность Андромеды,Сириуса,не определено,,мифологизация,"{'мифология': 0.728, 'знание': 0.565}",True
Туманность Андромеды,Прекрасной Полезности,не определено,,,"{'знание': 0.591, 'мифология': 0.516}",False
Туманность Андромеды,Праздник,не определено,,,"{'мифология': 0.471, 'сила': 0.411}",False
Туманность Андромеды,Бетом,не определено,,мифологизация,"{'мифология': 0.704, 'знание': 0.579}",True
Туманность Андромеды,Зиг Зор,не определено,,,"{'мифология': 0.531, 'сила': 0.412}",False
Туманность Андромеды,Мужчина,не определено,,,"{'мифология': 0.536, 'сила': 0.484}",False
Туманность Андромеды,Народу,не определено,,мифологизация,"{'мифология': 0.625, 'знание': 0.548}",True
Туманность Андромеды,Человечество,не определено,,,"{'мифология': 0.533, 'экология': 0.53}",False
Туманность Андромеды,Предложение,не определено,,мифологизация,"{'мифология': 0.588, 'знание': 0.571}",True
Туманность Андромеды,Рен Бозом,не определено,,мифологизация,"{'мифология': 0.62, 'знание': 0.499}",True
Туманность Андромеды,Океан,не определено,,,{},False
Туманность Андромеды,Сиррах,не определено,,,"{'мифология': 0.528, 'знание': 0.407}",False
Туманность Андромеды,Сана,не определено,,мифологизация,"{'мифология': 0.611, 'знание': 0.475}",True
Туманность Андромеды,Идя,не определено,,мифологизация,"{'мифология': 0.727, 'знание': 0.593}",True
Туманность Андромеды,Председатель,не определено,,,"{'сила': 0.504, 'мифология': 0.502}",False
Туманность Андромеды,Электроды,не определено,,,{'сила': 0.528},False
Туманность Андромеды,Ден,не определено,,мифологизация,"{'мифология': 0.583, 'знание': 0.481}",True
Туманность Андромеды,Время,не определено,,,"{'мифология': 0.529, 'знание': 0.491}",False
Туманность Андромеды,Туманности,не определено,,мифологизация,"{'мифология': 0.704, 'экология': 0.616}",True
Туманность Андромеды,Совет,не определено,,,"{'знание': 0.556, 'мифология': 0.485}",False
Туманность Андромеды,Операторы,не определено,,,"{'сила': 0.518, 'мифология': 0.51}",False
Туманность Андромеды,Сеть,не определено,,,"{'мифология': 0.459, 'знание': 0.449}",False
Туманность Андромеды,Возвращение,не определено,,,"{'мифология': 0.538, 'знание': 0.456}",False
Туманность Андромеды,Сын Грома,не определено,,мифологизация,"{'мифология': 0.621, 'знание': 0.49}",True
Туманность Андромеды,Мвена,не определено,,мифологизация,"{'мифология': 0.721, 'знание': 0.583}",True
Туманность Андромеды,Потрясенный Дар,не определено,,,"{'мифология': 0.536, 'сила': 0.463}",False
Туманность Андромеды,Зор,не определено,,мифологизация,"{'мифология': 0.724, 'сила': 0.585}",True
Туманность Андромеды,Желание,не определено,,мифологизация,"{'мифология': 0.596, 'знание': 0.538}",True
Туманность Андромеды,Антом,не определено,,мифологизация,"{'мифология': 0.588, 'знание': 0.467}",True
Туманность Андромеды,Бете,не определено,,мифологизация,"{'мифология': 0.655, 'знание': 0.565}",True
Туманность Андромеды,Вниманию,не определено,,мифологизация,"{'мифология': 0.705, 'знание': 0.69}",True
Туманность Андромеды,Волосах Вероники,не определено,,,{},False
Туманность Андромеды,Поэтому Дар,не определено,,мифологизация,"{'мифология': 0.609, 'знание': 0.517}",True
Туманность Андромеды,Пилюли,не определено,,,{'мифология': 0.511},False
Туманность Андромеды,Открытие,не определено,,мифологизация,"{'знание': 0.633, 'мифология': 0.589}",True
Туманность Андромеды,Покрытие,не определено,,мифологизация,"{'мифология': 0.652, 'сила': 0.553}",True
Туманность Андромеды,"Чару
Нанди",не определено,,мифологизация,"{'мифология': 0.637, 'сила': 0.463}",True
Туманность Андромеды,"Громом
Ормом",не определено,,мифологизация,"{'мифология': 0.733, 'экология': 0.591}",True
Туманность Андромеды,Дочь Тетиса,не определено,,,{'мифология': 0.451},False
Туманность Андромеды,Погрузка,не определено,,,"{'сила': 0.575, 'мифология': 0.528}",False
Туманность Андромеды,Жизнь,не определено,,мифологизация,"{'экология': 0.578, 'мифология': 0.577}",True
Туманность Андромеды,Сила Эроса,не определено,,,"{'сила': 0.663, 'мифология': 0.517}",False
Туманность Андромеды,"Гром
Орм",не определено,,мифологизация,"{'мифология': 0.664, 'экология': 0.573}",True
Туманность Андромеды,Академией Направленных,не определено,,,"{'знание': 0.449, 'сила': 0.426}",False
Туманность Андромеды,Вега,не определено,,мифологизация,"{'мифология': 0.775, 'знание': 0.646}",True
Туманность Андромеды,Ответственности,не определено,,,"{'сила': 0.501, 'тирания': 0.485}",False
Туманность Андромеды,Борьбы,не определено,,,"{'сила': 0.458, 'тирания': 0.427}",False
Туманность Андромеды,Академии,не определено,,,"{'знание': 0.481, 'мифология': 0.434}",False
Туманность Андромеды,Пел,не определено,,мифологизация,"{'мифология': 0.658, 'знание': 0.539}",True
Туманность Андромеды,Бетельгейзе,не определено,,мифологизация,"{'мифология': 0.61, 'знание': 0.473}",True
Туманность Андромеды,Познания,не определено,,мифологизация,"{'знание': 0.706, 'мифология': 0.624}",True
Туманность Андромеды,Киля Корабля,не определено,,мифологизация,"{'мифология': 0.596, 'экология': 0.472}",True
Туманность Андромеды,Возможности,не определено,,мифологизация,"{'мифология': 0.613, 'сила': 0.605}",True
Туманность Андромеды,Мозг Высшей,не определено,,,{'мифология': 0.427},False
Туманность Андромеды,Африке,не определено,,,{'мифология': 0.431},False
Туманность Андромеды,Чести,не определено,,мифологизация,"{'мифология': 0.661, 'знание': 0.638}",True
Туманность Андромеды,Академия,не определено,,,"{'знание': 0.518, 'мифология': 0.493}",False
Туманность Андромеды,"Пур
Хиссу",не определено,,мифологизация,"{'мифология': 0.626, 'сила': 0.469}",True
Туманность Андромеды,Теты Волка,не определено,,,{'мифология': 0.503},False
Туманность Андромеды,Псах,не определено,,мифологизация,"{'мифология': 0.735, 'сила': 0.591}",True
Туманность Андромеды,Лебедем,не определено,,мифологизация,"{'мифология': 0.741, 'знание': 0.591}",True
Туманность Андромеды,Знания,не определено,,мифологизация,"{'знание': 0.705, 'мифология': 0.597}",True
Туманность Андромеды,Пловцы,не определено,,мифологизация,"{'мифология': 0.644, 'экология': 0.544}",True
Туманность Андромеды,Экспедиция,не определено,,,"{'мифология': 0.49, 'экология': 0.483}",False
Туманность Андромеды,Дома Пищи,не определено,,,"{'мифология': 0.547, 'экология': 0.456}",False
Туманность Андромеды,Зон Тал,не определено,,мифологизация,"{'мифология': 0.709, 'знание': 0.567}",True
Туманность Андромеды,Peпaгулярное,не определено,,мифологизация,"{'мифология': 0.67, 'экология': 0.544}",True
Туманность Андромеды,Кения,не определено,,,{},False
Туманность Андромеды,Начальник,не определено,,,"{'сила': 0.498, 'мифология': 0.448}",False
Туманность Андромеды,Секунду,не определено,,мифологизация,"{'мифология': 0.764, 'знание': 0.632}",True
Туманность Андромеды,Художник,не определено,,,"{'мифология': 0.522, 'знание': 0.439}",False
Туманность Андромеды,Аллена,не определено,,мифологизация,"{'мифология': 0.676, 'знание': 0.544}",True
Туманность Андромеды,Низу Крит,не определено,,,{'мифология': 0.493},False
Туманность Андромеды,Гордость,не определено,,,"{'сила': 0.551, 'мифология': 0.521}",False
Туманность Андромеды,Контроля,не определено,,,"{'сила': 0.559, 'тирания': 0.514}",False
Туманность Андромеды,Гамма,не определено,,мифологизация,"{'мифология': 0.727, 'знание': 0.574}",True
Туманность Андромеды,Кольце,не определено,,мифологизация,"{'мифология': 0.738, 'знание': 0.594}",True
Туманность Андромеды,Работа,не определено,,,"{'сила': 0.546, 'знание': 0.508}",False
Туманность Андромеды,Щеки Низы,не определено,,мифологизация,"{'мифология': 0.608, 'экология': 0.442}",True
Туманность Андромеды,Тритон,не определено,,,"{'мифология': 0.502, 'знание': 0.416}",False
Туманность Андромеды,Зига Зора,не определено,,мифологизация,"{'мифология': 0.684, 'знание': 0.522}",True
Туманность Андромеды,Гром,не определено,,мифологизация,"{'мифология': 0.73, 'сила': 0.649}",True
Туманность Андромеды,Тукан,не определено,,мифологизация,"{'мифология': 0.647, 'знание': 0.503}",True
Туманность Андромеды,"Каму
Амату",не определено,,мифологизация,"{'мифология': 0.6, 'сила': 0.454}",True
Туманность Андромеды,Амат,не определено,,мифологизация,"{'мифология': 0.692, 'знание': 0.576}",True
Туманность Андромеды,Гондвана,не определено,,мифологизация,"{'мифология': 0.555, 'знание': 0.417}",True
Туманность Андромеды,Ученыйастроном Пур,не определено,,,"{'мифология': 0.489, 'знание': 0.468}",False
Туманность Андромеды,Психофизиологии,не определено,,,"{'мифология': 0.424, 'знание': 0.416}",False
Туманность Андромеды,Вызов,не определено,,мифологизация,"{'мифология': 0.745, 'сила': 0.645}",True
Туманность Андромеды,Слово,не определено,,мифологизация,"{'мифология': 0.602, 'знание': 0.581}",True
Туманность Андромеды,Передачи Великого,не определено,,мифологизация,"{'мифология': 0.625, 'знание': 0.584}",True
Туманность Андромеды,Онар,не определено,,мифологизация,"{'мифология': 0.747, 'знание': 0.635}",True
Туманность Андромеды,Зирда,тюрк./каз.,"зират = могила, предупреждение","смерть, ядерная угроза, экология, мифологизация","{'мифология': 0.59, 'знание': 0.455}",True
Туманность Андромеды,Метагалактики,не определено,,,{},False
Туманность Андромеды,Скафандр,не определено,,мифологизация,"{'мифология': 0.611, 'экология': 0.465}",True
Туманность Андромеды,Остаток,не определено,,мифологизация,"{'мифология': 0.598, 'сила': 0.509}",True
Туманность Андромеды,Крышка,не определено,,мифологизация,"{'мифология': 0.687, 'экология': 0.569}",True
Туманность Андромеды,Равнина,не определено,,мифологизация,"{'мифология': 0.726, 'знание': 0.584}",True
Туманность Андромеды,Устойчивость,не определено,,,"{'экология': 0.491, 'сила': 0.425}",False
Туманность Андромеды,Эвде Наль,не определено,,мифологизация,"{'мифология': 0.57, 'знание': 0.423}",True
Туманность Андромеды,Остров,не определено,,,{'мифология': 0.423},False
Туманность Андромеды,Пятна,не определено,,мифологизация,"{'мифология': 0.701, 'знание': 0.549}",True
Туманность Андромеды,Победитель,не определено,,,"{'сила': 0.519, 'мифология': 0.444}",False
Туманность Андромеды,Низы Крит,не определено,,,{'мифология': 0.464},False
Туманность Андромеды,Лоном,не определено,,мифологизация,"{'мифология': 0.742, 'знание': 0.601}",True
Туманность Андромеды,Врач,не определено,,,{},False
Туманность Андромеды,Индию,не определено,,,{},False
Туманность Андромеды,Скопище,не определено,,,{},False
Туманность Андромеды,Вершина,не определено,,мифологизация,"{'мифология': 0.673, 'сила': 0.652}",True
Туманность Андромеды,Дорогу,не определено,,,"{'мифология': 0.499, 'сила': 0.45}",False
Туманность Андромеды,Давление,не определено,,мифологизация,"{'мифология': 0.735, 'сила': 0.656}",True
Туманность Андромеды,Наука,не определено,,,"{'знание': 0.635, 'экология': 0.581}",False
Туманность Андромеды,Ужас,не определено,,мифологизация,"{'мифология': 0.553, 'экология': 0.435}",True
Туманность Андромеды,Знаний,не определено,,мифологизация,"{'знание': 0.707, 'мифология': 0.694}",True
Туманность Андромеды,Альмах,не определено,,мифологизация,"{'мифология': 0.706, 'экология': 0.549}",True
Туманность Андромеды,Группа,не определено,,мифологизация,"{'мифология': 0.562, 'сила': 0.489}",True
Туманность Андромеды,Арком Гиром,не определено,,мифологизация,"{'мифология': 0.635, 'знание': 0.509}",True
Туманность Андромеды,Омега Центавра,не определено,,мифологизация,"{'мифология': 0.668, 'экология': 0.517}",True
Туманность Андромеды,Ступенчатой,не определено,,мифологизация,"{'мифология': 0.749, 'знание': 0.608}",True
Туманность Андромеды,Долголетие,не определено,,,"{'мифология': 0.537, 'знание': 0.499}",False
Туманность Андромеды,Катти Сарк,не определено,,,{'мифология': 0.449},False
Туманность Андромеды,Разве Совет,не определено,,,"{'знание': 0.522, 'мифология': 0.451}",False
Туманность Андромеды,Атмосфера,не определено,,,"{'экология': 0.443, 'мифология': 0.402}",False
Туманность Андромеды,Рычаги,не определено,,мифологизация,"{'мифология': 0.671, 'экология': 0.57}",True
Туманность Андромеды,Горя,не определено,,мифологизация,"{'мифология': 0.743, 'знание': 0.595}",True
Туманность Андромеды,Тарантул,не определено,,мифологизация,"{'мифология': 0.649, 'экология': 0.484}",True
Туманность Андромеды,План,не определено,,,"{'мифология': 0.465, 'знание': 0.426}",False
Туманность Андромеды,Достижение,не определено,,мифологизация,"{'сила': 0.646, 'знание': 0.623}",True
Туманность Андромеды,Катастрофа,не определено,,,"{'мифология': 0.481, 'экология': 0.433}",False
Туманность Андромеды,Представители,не определено,,мифологизация,"{'мифология': 0.581, 'сила': 0.557}",True
Туманность Андромеды,Ухо,не определено,,,{'мифология': 0.432},False
Туманность Андромеды,Девочка,не определено,,,{'мифология': 0.433},False
Туманность Андромеды,Круг,не определено,,мифологизация,"{'мифология': 0.716, 'знание': 0.596}",True
Туманность Андромеды,Лебеде,не определено,,мифологизация,"{'мифология': 0.704, 'знание': 0.571}",True
Туманность Андромеды,Журавлевой,не определено,,мифологизация,"{'мифология': 0.733, 'экология': 0.604}",True
Туманность Андромеды,Тибет,не определено,,,{},False
Туманность Андромеды,Крита,не определено,,,{'мифология': 0.485},False
Туманность Андромеды,Аэллы,не определено,,мифологизация,"{'мифология': 0.695, 'знание': 0.534}",True
Туманность Андромеды,Юпитера,не определено,,,{},False
Туманность Андромеды,Луалабы,не определено,,,{'мифология': 0.521},False
Туманность Андромеды,Веда Конг,не определено,,мифологизация,"{'мифология': 0.558, 'знание': 0.439}",True
Туманность Андромеды,Шар,не определено,,мифологизация,"{'мифология': 0.763, 'знание': 0.606}",True
Туманность Андромеды,Толстому,не определено,,мифологизация,"{'мифология': 0.559, 'знание': 0.451}",True
Туманность Андромеды,Ахернара,не определено,,мифологизация,"{'мифология': 0.674, 'знание': 0.511}",True
Туманность Андромеды,"Для
Рен",не определено,,мифологизация,"{'мифология': 0.597, 'знание': 0.508}",True
Туманность Андромеды,Зирды,не определено,,мифологизация,"{'мифология': 0.71, 'знание': 0.546}",True
Туманность Андромеды,Упрощения Вещей,не определено,,мифологизация,"{'мифология': 0.64, 'знание': 0.604}",True
Туманность Андромеды,Грахама,не определено,,мифологизация,"{'мифология': 0.679, 'знание': 0.528}",True
Туманность Андромеды,Проект,не определено,,мифологизация,"{'мифология': 0.571, 'знание': 0.557}",True
Туманность Андромеды,Обстоятельства,не определено,,мифологизация,"{'мифология': 0.714, 'знание': 0.684}",True
Туманность Андромеды,Твердый,не определено,,мифологизация,"{'мифология': 0.76, 'знание': 0.624}",True
Туманность Андромеды,Мудрость,не определено,,,"{'знание': 0.621, 'мифология': 0.493}",False
Туманность Андромеды,Искусство,не определено,,,"{'мифология': 0.528, 'знание': 0.479}",False
Туманность Андромеды,Поезд,не определено,,,{},False
Туманность Андромеды,Толстой,не определено,,,{'мифология': 0.46},False
Туманность Андромеды,Планеты,не определено,,,"{'экология': 0.455, 'мифология': 0.408}",False
Туманность Андромеды,Хеба,не определено,,,"{'мифология': 0.532, 'знание': 0.417}",False
Туманность Андромеды,Кэй Бэра,не определено,,мифологизация,"{'мифология': 0.632, 'знание': 0.544}",True
Туманность Андромеды,Бете Лоне,не определено,,мифологизация,"{'мифология': 0.701, 'знание': 0.579}",True
Туманность Андромеды,"Аф
Нут",не определено,,мифологизация,"{'мифология': 0.703, 'знание': 0.578}",True
Туманность Андромеды,"Молодежь
Большого",не определено,,,"{'мифология': 0.429, 'сила': 0.403}",False
Туманность Андромеды,Подвиги,не определено,,,"{'знание': 0.462, 'мифология': 0.452}",False
Туманность Андромеды,Это Ляо,не определено,,,{'мифология': 0.539},False
Туманность Андромеды,Дух,не определено,,мифологизация,"{'мифология': 0.631, 'экология': 0.548}",True
Туманность Андромеды,Одеяние Чары,не определено,,мифологизация,"{'мифология': 0.687, 'знание': 0.551}",True
Туманность Андромеды,Миллионы,не определено,,,{},False
Туманность Андромеды,Лаборатории,не определено,,,"{'знание': 0.532, 'мифология': 0.478}",False
Туманность Андромеды,Распорядители,не определено,,,"{'сила': 0.548, 'мифология': 0.497}",False
Туманность Андромеды,Дис Кен,не определено,,мифологизация,"{'мифология': 0.648, 'сила': 0.527}",True
Туманность Андромеды,"Пур
Хисс",не определено,,мифологизация,"{'мифология': 0.64, 'знание': 0.487}",True
Туманность Андромеды,Луме Ласви,не определено,,мифологизация,"{'мифология': 0.629, 'знание': 0.481}",True
Туманность Андромеды,Сигналы,не определено,,,"{'мифология': 0.499, 'знание': 0.479}",False
Туманность Андромеды,Часть,не определено,,мифологизация,"{'мифология': 0.671, 'знание': 0.589}",True
Туманность Андромеды,Пур Хисса,не определено,,мифологизация,"{'мифология': 0.662, 'экология': 0.49}",True
Туманность Андромеды,Минор,не определено,,мифологизация,"{'мифология': 0.712, 'сила': 0.58}",True
Туманность Андромеды,Эвдой,не определено,,мифологизация,"{'мифология': 0.714, 'знание': 0.582}",True
Туманность Андромеды,Астрономы,не определено,,,{'мифология': 0.411},False
Туманность Андромеды,"Институт
Метагалактики",не определено,,,{},False
Туманность Андромеды,Поиски,не определено,,,"{'мифология': 0.502, 'сила': 0.416}",False
Туманность Андромеды,Лума,не определено,,мифологизация,"{'мифология': 0.685, 'знание': 0.533}",True
Туманность Андромеды,Мир,не определено,,,"{'мифология': 0.535, 'знание': 0.463}",False
Туманность Андромеды,"Омикрон
Эридана",не определено,,мифологизация,"{'мифология': 0.635, 'знание': 0.482}",True
Туманность Андромеды,"Скоро
Чара",не определено,,мифологизация,"{'мифология': 0.585, 'знание': 0.427}",True
Туманность Андромеды,Жинну Каду,не определено,,мифологизация,"{'мифология': 0.676, 'знание': 0.529}",True
Туманность Андромеды,Дочь,не определено,,,"{'мифология': 0.466, 'знание': 0.418}",False
Туманность Андромеды,Антарктиду,не определено,,,{},False
Туманность Андромеды,Киля,не определено,,,"{'мифология': 0.543, 'сила': 0.447}",False
Туманность Андромеды,Бета Лона,не определено,,мифологизация,"{'мифология': 0.637, 'знание': 0.513}",True
Туманность Андромеды,Обью,не определено,,мифологизация,"{'мифология': 0.76, 'знание': 0.647}",True
Туманность Андромеды,Фомальгаут,не определено,,мифологизация,"{'мифология': 0.691, 'знание': 0.542}",True
Туманность Андромеды,Поэтому Большой,не определено,,,"{'мифология': 0.534, 'сила': 0.509}",False
Туманность Андромеды,Сирт,не определено,,мифологизация,"{'мифология': 0.644, 'знание': 0.598}",True
Туманность Андромеды,Рассказ,не определено,,мифологизация,"{'мифология': 0.744, 'знание': 0.68}",True
Туманность Андромеды,Когда Мвен,не определено,,мифологизация,"{'мифология': 0.625, 'знание': 0.538}",True
Туманность Андромеды,Дзеты Кормы,не определено,,мифологизация,"{'мифология': 0.649, 'экология': 0.494}",True
Туманность Андромеды,Передача,не определено,,,"{'мифология': 0.53, 'сила': 0.467}",False
Туманность Андромеды,"Совета
Звездоплавания",не определено,,,"{'мифология': 0.464, 'сила': 0.405}",False
Туманность Андромеды,Пур,не определено,,мифологизация,"{'мифология': 0.732, 'знание': 0.586}",True
Туманность Андромеды,Телефон,не определено,,,{},False
Туманность Андромеды,Микрофоны,не определено,,,{'мифология': 0.404},False
Туманность Андромеды,Надир,не определено,,мифологизация,"{'мифология': 0.707, 'сила': 0.629}",True
Туманность Андромеды,Диски,не определено,,мифологизация,"{'мифология': 0.66, 'знание': 0.571}",True
Туманность Андромеды,Великом Кольце,не определено,,мифологизация,"{'мифология': 0.665, 'сила': 0.553}",True
Туманность Андромеды,Омикрон,не определено,,мифологизация,"{'мифология': 0.587, 'знание': 0.499}",True
Туманность Андромеды,"Эргом
Ноором",не определено,,мифологизация,"{'мифология': 0.666, 'сила': 0.523}",True
Туманность Андромеды,Буксир,не определено,,мифологизация,"{'мифология': 0.665, 'знание': 0.564}",True
Туманность Андромеды,Ляо Лана,не определено,,мифологизация,"{'мифология': 0.605, 'знание': 0.45}",True
Туманность Андромеды,Запор,не определено,,мифологизация,"{'мифология': 0.593, 'сила': 0.561}",True
Туманность Андромеды,Эвды Наль,не определено,,мифологизация,"{'мифология': 0.604, 'знание': 0.441}",True
Туманность Андромеды,"Дома
Высшей",не определено,,,"{'мифология': 0.522, 'сила': 0.504}",False
Туманность Андромеды,Медведице,не определено,,,"{'экология': 0.434, 'мифология': 0.429}",False
Туманность Андромеды,Баллада,не определено,,мифологизация,"{'мифология': 0.609, 'знание': 0.446}",True
Туманность Андромеды,Лире,не определено,,мифологизация,"{'мифология': 0.75, 'знание': 0.633}",True
Туманность Андромеды,Янагихара Эйгоро,не определено,,,{'мифология': 0.507},False
Туманность Андромеды,Установка Кора,не определено,,мифологизация,"{'мифология': 0.627, 'знание': 0.503}",True
Туманность Андромеды,Янагихара,не определено,,,{'мифология': 0.504},False
Туманность Андромеды,Четыреста,не определено,,мифологизация,"{'мифология': 0.631, 'знание': 0.544}",True
Туманность Андромеды,Ирландии,не определено,,,{'мифология': 0.41},False
Туманность Андромеды,Вера,не определено,,,"{'мифология': 0.533, 'знание': 0.499}",False
Туманность Андромеды,Эвда,не определено,,мифологизация,"{'мифология': 0.73, 'знание': 0.6}",True
Туманность Андромеды,Двуречья,не определено,,мифологизация,"{'мифология': 0.635, 'знание': 0.538}",True
Туманность Андромеды,К22Н-88,не определено,,,{},False
Туманность Андромеды,Северной Африке,не определено,,,{},False
Туманность Андромеды,Помощи,не определено,,,"{'знание': 0.554, 'мифология': 0.523}",False
Туманность Андромеды,Задача,не определено,,мифологизация,"{'мифология': 0.625, 'сила': 0.625}",True
Туманность Андромеды,Механик Тарон,не определено,,,"{'мифология': 0.549, 'знание': 0.403}",False
Туманность Андромеды,Афродита Анадиомена,не определено,,,"{'мифология': 0.523, 'экология': 0.431}",False
Туманность Андромеды,Огни,не определено,,,"{'мифология': 0.468, 'сила': 0.408}",False
Туманность Андромеды,Гай,не определено,,мифологизация,"{'мифология': 0.752, 'сила': 0.625}",True
Туманность Андромеды,Вероники,не определено,,мифологизация,"{'мифология': 0.718, 'знание': 0.572}",True
Туманность Андромеды,Каму,не определено,,мифологизация,"{'мифология': 0.61, 'сила': 0.508}",True
Туманность Андромеды,Ероша,не определено,,мифологизация,"{'мифология': 0.655, 'знание': 0.492}",True
Туманность Андромеды,Толчок,не определено,,мифологизация,"{'мифология': 0.769, 'знание': 0.642}",True
Туманность Андромеды,Труд,не определено,,,"{'сила': 0.504, 'знание': 0.459}",False
Туманность Андромеды,Дис,не определено,,мифологизация,"{'мифология': 0.767, 'знание': 0.634}",True
Туманность Андромеды,Влихх,не определено,,мифологизация,"{'мифология': 0.622, 'знание': 0.48}",True
Туманность Андромеды,Совету,не определено,,,"{'знание': 0.562, 'мифология': 0.492}",False
Туманность Андромеды,Коктебель,не определено,,мифологизация,"{'мифология': 0.692, 'знание': 0.577}",True
Туманность Андромеды,Мозжинка,не определено,,мифологизация,"{'мифология': 0.741, 'сила': 0.604}",True
Туманность Андромеды,Карта,не определено,,,{'мифология': 0.411},False
Туманность Андромеды,Дворца,не определено,,,"{'мифология': 0.481, 'сила': 0.459}",False
Туманность Андромеды,Сириус,не определено,,мифологизация,"{'мифология': 0.702, 'знание': 0.557}",True
Туманность Андромеды,Веге,не определено,,мифологизация,"{'мифология': 0.723, 'сила': 0.685}",True
Туманность Андромеды,Б-7336-С+87-А.,не определено,,,{},False
Туманность Андромеды,Тантры,не определено,,мифологизация,"{'мифология': 0.729, 'знание': 0.616}",True
Туманность Андромеды,Выбор,не определено,,,"{'мифология': 0.475, 'сила': 0.464}",False
Туманность Андромеды,Африканец,не определено,,,{'мифология': 0.438},False
Туманность Андромеды,Денеба,не определено,,мифологизация,"{'мифология': 0.599, 'знание': 0.465}",True
Туманность Андромеды,Астроном Ингрид,не определено,,,{'мифология': 0.491},False
Туманность Андромеды,Новой Зеландии,не определено,,,{},False
Туманность Андромеды,Размах,не определено,,мифологизация,"{'мифология': 0.776, 'знание': 0.665}",True
Туманность Андромеды,Звездоплавания,не определено,,,"{'мифология': 0.535, 'сила': 0.423}",False
Туманность Андромеды,Ветру,не определено,,,{'сила': 0.415},False
Туманность Андромеды,Сах,не определено,,мифологизация,"{'мифология': 0.657, 'сила': 0.521}",True
Туманность Андромеды,Древней Эллады,не определено,,мифологизация,"{'мифология': 0.575, 'тирания': 0.414}",True
Туманность Андромеды,Анадиомена,не определено,,мифологизация,"{'мифология': 0.667, 'экология': 0.517}",True
Туманность Андромеды,Дочери Юга,не определено,,,{},False
Туманность Андромеды,Нептуном,не определено,,мифологизация,"{'мифология': 0.757, 'знание': 0.59}",True
Туманность Андромеды,Заф Фтет,не определено,,мифологизация,"{'мифология': 0.576, 'знание': 0.459}",True
Туманность Андромеды,Индикаторы,не определено,,мифологизация,"{'мифология': 0.66, 'сила': 0.606}",True
Туманность Андромеды,Молодежь,не определено,,,{},False
Туманность Андромеды,Люди,не определено,,мифологизация,"{'мифология': 0.631, 'знание': 0.567}",True
Туманность Андромеды,Тринидада,не определено,,,{},False
Туманность Андромеды,Девушка,не определено,,,"{'мифология': 0.454, 'знание': 0.402}",False
Туманность Андромеды,Художнику,не определено,,,"{'мифология': 0.522, 'знание': 0.442}",False
Туманность Андромеды,Антарес,не определено,,мифологизация,"{'мифология': 0.629, 'экология': 0.511}",True
Туманность Андромеды,Изобретение,не определено,,,"{'знание': 0.49, 'мифология': 0.45}",False
Туманность Андромеды,Эры Кольца,не определено,,мифологизация,"{'мифология': 0.607, 'знание': 0.51}",True
Туманность Андромеды,Продолжение,не определено,,,"{'мифология': 0.541, 'знание': 0.502}",False
Туманность Андромеды,Минуту,не определено,,мифологизация,"{'мифология': 0.61, 'знание': 0.511}",True
Туманность Андромеды,Опасность,не определено,,,"{'сила': 0.534, 'мифология': 0.479}",False
Туманность Андромеды,Пур Хиссом,не определено,,мифологизация,"{'мифология': 0.624, 'знание': 0.464}",True
Туманность Андромеды,Уран,не определено,,,"{'мифология': 0.483, 'экология': 0.433}",False
Туманность Андромеды,Прыжки,не определено,,,"{'сила': 0.54, 'мифология': 0.474}",False
Туманность Андромеды,Тантре,не определено,,мифологизация,"{'мифология': 0.632, 'знание': 0.506}",True
Туманность Андромеды,Жива,не определено,,мифологизация,"{'мифология': 0.697, 'экология': 0.587}",True
Туманность Андромеды,Зон,не определено,,мифологизация,"{'мифология': 0.745, 'знание': 0.609}",True
Туманность Андромеды,Ступени,не определено,,мифологизация,"{'мифология': 0.695, 'знание': 0.563}",True
Туманность Андромеды,Джан,не определено,,мифологизация,"{'мифология': 0.689, 'знание': 0.572}",True
Туманность Андромеды,Мостом,не определено,,мифологизация,"{'мифология': 0.76, 'знание': 0.623}",True
Туманность Андромеды,Совете,не определено,,,"{'знание': 0.56, 'мифология': 0.494}",False
Туманность Андромеды,Мир Ом,не определено,,,"{'мифология': 0.546, 'знание': 0.459}",False
Туманность Андромеды,Хомры,не определено,,мифологизация,"{'мифология': 0.715, 'знание': 0.572}",True
Туманность Андромеды,Меркурия,не определено,,,{},False
Туманность Андромеды,Видение,не определено,,,"{'мифология': 0.498, 'экология': 0.433}",False
Туманность Андромеды,Вода,не определено,,,{'экология': 0.418},False
Туманность Андромеды,"Рука
Чары",не определено,,мифологизация,"{'мифология': 0.553, 'сила': 0.444}",True
